,movies_name,ratings
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,The Dark Knight,9.1
3,The Lord of the Rings: The Return of the King,9.0
4,Schindler's List,9.0
5,The Godfather: Part II,9.0
6,12 Angry Men,9.0
7,The Lord of the Rings: The Fellowship of the Ring,8.9
8,Pulp Fiction,8.9
9,Inception,8.8
10,The Lord of the Rings: The Two Towers,8.8
11,Fight Club,8.8
12,Forrest Gump,8.8
13,"Il buono, il brutto, il cattivo",8.8
14,Interstellar,8.7
15,The Matrix,8.7
16,Goodfellas,8.7
17,The Empire Strikes Back,8.7
18,One Flew Over the Cuckoo's Nest,8.7
19,Shichinin no samurai,8.7
20,It's a Wonderful Life,8.7
21,Spider-Man: No Way Home,8.6
22,Cidade de Deus,8.6
23,The Pianist,8.6
24,Sen to Chihiro no kamikakushi,8.6
25,Saving Private Ryan,8.6
26,The Green Mile,8.6
27,La vita è bella,8.6
28,Se7en,8.6
29,Léon,8.6
30,Terminator 2: Judgment Day,8.6
31,The Silence of the Lambs,8.6
32,Back to the Future,8.6
33,Star Wars,8.6
34,Seppuku,8.6
35,Gisaengchung,8.5
36,Avengers: Infinity War,8.5
37,Whiplash,8.5
38,Django Unchained,8.5
39,The Intouchables,8.5
40,3 Idiots,8.5
41,The Prestige,8.5
42,The Departed,8.5
43,Memento,8.5
44,Gladiator,8.5
45,American History X,8.5
46,The Usual Suspects,8.5
47,The Lion King,8.5
48,Nuovo Cinema Paradiso,8.5
49,Hotaru no haka,8.5
